year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,gender_sv,gender_en,granted_count
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Kvinna,Woman,377
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Man,Man,519
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Totalt,Total,896
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Kvinna,Woman,1581
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Man,Man,1888
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Totalt,Total,3469
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Kvinna,Woman,29635
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Man,Man,17931
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Totalt,Total,47566
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Kvinna,Woman,417
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Man,Man,402
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Totalt,Total,819
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Kvinna,Woman,16
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Man,Man,84
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Totalt,Total,100
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Kvinna,Woman,1891
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Man,Man,1853
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Totalt,Total,3744
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Kvinna,Woman,12
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Man,Man,16
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Totalt,Total,28
2022,Skydd,Protection (asylum),Totalt,Total,Kvinna,Woman,33929
2022,Skydd,Protection (asylum),Totalt,Total,Man,Man,22693
2022,Skydd,Protection (asylum),Totalt,Total,Totalt,Total,56622
2022,Studier,Studies,Anhörig till studerande,Family of student,Kvinna,Woman,1786
2022,Studier,Studies,Anhörig till studerande,Family of student,Man,Man,1993
2022,Studier,Studies,Anhörig till studerande,Family of student,Totalt,Total,3779
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Kvinna,Woman,369
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Man,Man,494
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Totalt,Total,863
2022,Studier,Studies,Doktorand,Doctoral student,Kvinna,Woman,331
2022,Studier,Studies,Doktorand,Doctoral student,Man,Man,415
2022,Studier,Studies,Doktorand,Doctoral student,Totalt,Total,746
2022,Studier,Studies,Högre utbildning,Higher education,Kvinna,Woman,4087
2022,Studier,Studies,Högre utbildning,Higher education,Man,Man,4246
2022,Studier,Studies,Högre utbildning,Higher education,Totalt,Total,8333
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Kvinna,Woman,14
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Man,Man,18
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Totalt,Total,32
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Kvinna,Woman,131
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Man,Man,83
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Totalt,Total,214
2022,Studier,Studies,Studier mobilitet,Student mobility,Kvinna,Woman,231
2022,Studier,Studies,Studier mobilitet,Student mobility,Man,Man,339
2022,Studier,Studies,Studier mobilitet,Student mobility,Totalt,Total,570
2022,Studier,Studies,Totalt,Total,Kvinna,Woman,6949
2022,Studier,Studies,Totalt,Total,Man,Man,7588
2022,Studier,Studies,Totalt,Total,Totalt,Total,14537
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Kvinna,Woman,4
