year,month,year_month,is_year_total,permit_type_sv,permit_type_en,occupation_field_sv,occupation_field_en,granted_count
2021,4,2021-04,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,30
2021,5,2021-05,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,43
2021,6,2021-06,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,46
2021,7,2021-07,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,14
2021,8,2021-08,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,22
2021,9,2021-09,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,36
2021,10,2021-10,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,25
2021,11,2021-11,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,38
2021,12,2021-12,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,37
2021,,2021,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,355
2021,1,2021-01,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,67
2021,2,2021-02,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,56
2021,3,2021-03,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,100
2021,4,2021-04,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,72
2021,5,2021-05,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,101
2021,6,2021-06,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,123
2021,7,2021-07,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,88
2021,8,2021-08,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,82
2021,9,2021-09,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,99
2021,10,2021-10,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,106
2021,11,2021-11,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,87
2021,12,2021-12,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,82
2021,,2021,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,1063
2021,1,2021-01,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",149
2021,2,2021-02,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",540
2021,3,2021-03,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",488
2021,4,2021-04,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",138
2021,5,2021-05,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",96
2021,6,2021-06,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",38
2021,7,2021-07,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",24
2021,8,2021-08,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",26
2021,9,2021-09,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",29
2021,10,2021-10,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",24
2021,11,2021-11,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",13
2021,12,2021-12,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",42
2021,,2021,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",1607
2021,1,2021-01,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,18
2021,2,2021-02,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,18
2021,3,2021-03,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,32
2021,4,2021-04,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,65
2021,5,2021-05,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,58
2021,6,2021-06,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,28
2021,7,2021-07,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,21
2021,8,2021-08,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,38
2021,9,2021-09,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,49
2021,10,2021-10,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,28
2021,11,2021-11,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,45
2021,12,2021-12,False,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,34
2021,,2021,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,434
2021,1,2021-01,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,322
2021,2,2021-02,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,307
2021,3,2021-03,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,391
2021,4,2021-04,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,422
2021,5,2021-05,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,474
2021,6,2021-06,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,641
2021,7,2021-07,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,630
2021,8,2021-08,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,615
2021,9,2021-09,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,635
2021,10,2021-10,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,579
2021,11,2021-11,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,688
2021,12,2021-12,False,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,643
2021,,2021,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,6347
2021,1,2021-01,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,130
2021,2,2021-02,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,131
2021,3,2021-03,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,163
2021,4,2021-04,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,159
2021,5,2021-05,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,195
2021,6,2021-06,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,216
2021,7,2021-07,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,204
2021,8,2021-08,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,227
2021,9,2021-09,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,217
2021,10,2021-10,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,194
2021,11,2021-11,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,216
2021,12,2021-12,False,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,200
2021,,2021,True,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,2252
2021,1,2021-01,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,213
2021,2,2021-02,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,317
2021,3,2021-03,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,318
2021,4,2021-04,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,259
2021,5,2021-05,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,160
2021,6,2021-06,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,4277
2021,7,2021-07,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,889
2021,8,2021-08,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,76
2021,9,2021-09,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,151
2021,10,2021-10,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,176
2021,11,2021-11,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,207
2021,12,2021-12,False,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,192
2021,,2021,True,förstagångs,first-time,Yrken med krav på kortare utbildning eller introduktion,Occupations requiring short training or introduction,7235
2021,1,2021-01,False,förstagångs,first-time,Totalt,Total,979
2021,2,2021-02,False,förstagångs,first-time,Totalt,Total,1482
2021,3,2021-03,False,förstagångs,first-time,Totalt,Total,1600
2021,4,2021-04,False,förstagångs,first-time,Totalt,Total,1239
2021,5,2021-05,False,förstagångs,first-time,Totalt,Total,1258
2021,6,2021-06,False,förstagångs,first-time,Totalt,Total,5609
2021,7,2021-07,False,förstagångs,first-time,Totalt,Total,1981
2021,8,2021-08,False,förstagångs,first-time,Totalt,Total,1179
2021,9,2021-09,False,förstagångs,first-time,Totalt,Total,1338
2021,10,2021-10,False,förstagångs,first-time,Totalt,Total,1294
2021,11,2021-11,False,förstagångs,first-time,Totalt,Total,1444
2021,12,2021-12,False,förstagångs,first-time,Totalt,Total,1350
2021,,2021,True,förstagångs,first-time,Totalt,Total,20753
2022,1,2022-01,False,förstagångs,first-time,Chefsyrken,Managers,23
2022,2,2022-02,False,förstagångs,first-time,Chefsyrken,Managers,33
2022,3,2022-03,False,förstagångs,first-time,Chefsyrken,Managers,41
2022,4,2022-04,False,förstagångs,first-time,Chefsyrken,Managers,29
2022,5,2022-05,False,förstagångs,first-time,Chefsyrken,Managers,84
2022,6,2022-06,False,förstagångs,first-time,Chefsyrken,Managers,56
2022,7,2022-07,False,förstagångs,first-time,Chefsyrken,Managers,23
2022,8,2022-08,False,förstagångs,first-time,Chefsyrken,Managers,36
2022,9,2022-09,False,förstagångs,first-time,Chefsyrken,Managers,49
2022,10,2022-10,False,förstagångs,first-time,Chefsyrken,Managers,100
2022,11,2022-11,False,förstagångs,first-time,Chefsyrken,Managers,18
2022,12,2022-12,False,förstagångs,first-time,Chefsyrken,Managers,30
2022,,2022,True,förstagångs,first-time,Chefsyrken,Managers,522
2022,1,2022-01,False,förstagångs,first-time,Militära yrken,Military occupations,6
2022,2,2022-02,False,förstagångs,first-time,Militära yrken,Military occupations,6
2022,3,2022-03,False,förstagångs,first-time,Militära yrken,Military occupations,2
2022,4,2022-04,False,förstagångs,first-time,Militära yrken,Military occupations,0
2022,5,2022-05,False,förstagångs,first-time,Militära yrken,Military occupations,1
2022,6,2022-06,False,förstagångs,first-time,Militära yrken,Military occupations,0
2022,7,2022-07,False,förstagångs,first-time,Militära yrken,Military occupations,1
2022,8,2022-08,False,förstagångs,first-time,Militära yrken,Military occupations,4
2022,9,2022-09,False,förstagångs,first-time,Militära yrken,Military occupations,1
2022,10,2022-10,False,förstagångs,first-time,Militära yrken,Military occupations,4
2022,11,2022-11,False,förstagångs,first-time,Militära yrken,Military occupations,0
2022,12,2022-12,False,förstagångs,first-time,Militära yrken,Military occupations,0
2022,,2022,True,förstagångs,first-time,Militära yrken,Military occupations,25
2022,1,2022-01,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",61
2022,2,2022-02,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",90
2022,3,2022-03,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",113
2022,4,2022-04,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",144
2022,5,2022-05,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",126
2022,6,2022-06,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",83
2022,7,2022-07,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",58
