year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,person_type_sv,person_type_en,granted_count
2022,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Barn i familj,Child in family,1971
2022,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Ensamkommande barn,Unaccompanied minor,1
2022,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Totalt,Total,3257
2022,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Vuxen,Adult,1990
2022,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Barn i familj,Child in family,437
2022,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Ensamkommande barn,Unaccompanied minor,0
2022,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Totalt,Total,2427
2022,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Vuxen,Adult,421
2022,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Barn i familj,Child in family,45
2022,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Ensamkommande barn,Unaccompanied minor,0
2022,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Totalt,Total,466
2022,EU/EES,EU/EEA,Uppehållsrätt/Uppehållstillstånd för EES-medborgare,Right of residence – EEA citizen,Vuxen,Adult,0
2022,EU/EES,EU/EEA,Uppehållsrätt/Uppehållstillstånd för EES-medborgare,Right of residence – EEA citizen,Barn i familj,Child in family,1
2022,EU/EES,EU/EEA,Uppehållsrätt/Uppehållstillstånd för EES-medborgare,Right of residence – EEA citizen,Ensamkommande barn,Unaccompanied minor,0
2022,EU/EES,EU/EEA,Uppehållsrätt/Uppehållstillstånd för EES-medborgare,Right of residence – EEA citizen,Totalt,Total,1
2022,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Vuxen,Adult,1726
